volume,lfd Nr.,Signatur-Fonds,Signatur-Nr.,datum,when,notBefore,notAfter,ort,region,region_konk,form,flags
Aberle/Prescher 1997,81,Urk.,26,1339 Juli 17,1339-07-17,,,Erfurt,Thüringen und Harzraum: weitere Empfänger in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,12,Urk.,28,1346 Januar 2,1346-01-02,,,,Mittelrhein,Mittelrhein,,
Müller et al. 2007,36,Urk.,29,1349 August 8,1349-08-08,,,Sacili (Prov. Udine),"Italien, übriges","Italien, übriges",Notariatsinstrument,
Aberle/Prescher 1997,1,Urk.,30,1349 September 3,1349-09-03,,,Köln,Niederrhein,Niederrhein,,
Aberle/Prescher 1997,36,Urk.,31,1352 April 12,1352-04-12,,,Winterthur,Österreich,Österreich,,
Aberle/Prescher 1997,86,Urk.,33,1352 Juli 8,1352-07-08,,,,Thüringen und Harzraum: geistliche und weltliche Empfänger,Thüringen/Harzraum,,
Müller et al. 2007,37,Urk.,34,1353 August 1,1353-08-01,,,Prag,"Italien, übriges","Italien, übriges",Privileg,
Aberle/Prescher 1997,13,Urk.,37,1356 Februar 17,1356-02-17,,,Oppenheim,Mittelrhein,Mittelrhein,,
Aberle/Prescher 1997,87,Urk.,40,1358 April 20,1358-04-20,,,,Thüringen und Harzraum: geistliche und weltliche Empfänger,Thüringen/Harzraum,,
Aberle/Prescher 1997,2,Urk.,42,1361 April 19,1361-04-19,,,,Niederrhein,Niederrhein,,"date absente de la couche OCR du regeste, reprise de la concordance (p. 179)"
Aberle/Prescher 1997,37,Urk.,44,1362 Juni 25,1362-06-25,,,Haimburg,Österreich,Österreich,,
Aberle/Prescher 1997,38,Urk.,45,1362 September 3,1362-09-03,,,,Österreich,Österreich,,
Aberle/Prescher 1997,55,Urk.,47,[Nach 1365 Februar 20 bzw. nach 1365 April 22],,1365-02-20,,,Westfalen,Westfalen,Inserierung/Fragment,Inserierung/Fragment; date de l acte confirmant seulement approximative; bulle insérée 1365-02-20 ou 1365-04-22
Aberle/Prescher 1997,27,Urk.,48,1365 November 12,1365-11-12,,,,Bayern,Bayern,Fragment,
Aberle/Prescher 1997,39,Urk.,50,1366 Januar 17,1366-01-17,,,,Österreich,Österreich,,
Aberle/Prescher 1997,25,Urk.,54,1369 Juli 27,1369-07-27,,,Stuttgart,Schwaben,Schwaben,,
Aberle/Prescher 1997,88,Urk.,56,1370 Juni 8,1370-06-08,,,,Thüringen und Harzraum: geistliche und weltliche Empfänger,Thüringen/Harzraum,,
Müller et al. 2007,38,Urk.,57,1370 Juli 2,1370-07-02,,,Padua,"Italien, übriges","Italien, übriges","Notariatsinstrument, Grundstücksverkauf",
Aberle/Prescher 1997,3,Urk.,58,1377 April 9,1377-04-09,,,,Niederrhein,Niederrhein,,
Aberle/Prescher 1997,40,Urk.,59,1377 September 8,1377-09-08,,,Wien,Österreich,Österreich,,
Aberle/Prescher 1997,41,Urk.,60,1377 November 23,1377-11-23,,,Wien,Österreich,Österreich,,
Aberle/Prescher 1997,89,Urk.,62,1379 August 21,1379-08-21,,,,Thüringen und Harzraum: geistliche und weltliche Empfänger,Thüringen/Harzraum,,
Aberle/Prescher 1997,4,Urk.,64,1380 März,,1380-03-01,1380-03-31,[Köln],Niederrhein,Niederrhein,Fragment,
Aberle/Prescher 1997,28,Urk.,66,1383 Juli 12,1383-07-12,,,,Bayern,Bayern,,
Müller et al. 2007,25,Urk.,68,1384 Juni 25,1384-06-25,,,Venedig,"Italien, Venedig","Italien, Venedig","Notariatsinstrument, Hausverkauf",
Aberle/Prescher 1997,29,Urk.,70,1385 November 10,1385-11-10,,,,Bayern,Bayern,,
Aberle/Prescher 1997,30,Urk.,72,1387 April 9,1387-04-09,,,,Bayern,Bayern,,
Aberle/Prescher 1997,23,Urk.,74,1390 Dezember 19,1390-12-19,,,[Zabern],Oberrhein,Oberrhein,Fragment,
Aberle/Prescher 1997,48,Urk.,76,1392 Februar 21,1392-02-21,,,,Niedersachsen und Hamburg,Niedersachsen/Hamburg,,
Aberle/Prescher 1997,49,Urk.,81,1400 Juli 13,1400-07-13,,,,Niedersachsen und Hamburg,Niedersachsen/Hamburg,,
Aberle/Prescher 1997,90,Urk.,83,1402 Mai 21,1402-05-21,,,Alten bürg,Thüringen und Harzraum: geistliche und weltliche Empfänger,Thüringen/Harzraum,,
Müller et al. 2007,19,Urk.,85,1407 Dezember 17,1407-12-17,,,Treviso,"Italien, Treviso","Italien, Treviso","Notariatsinstrument, Ehevertrag",
Müller et al. 2007,39,Urk.,87,1416 Mai 31,1416-05-31,,,Mailand,"Italien, übriges","Italien, übriges","Besitzübertragung, -rechte",
Aberle/Prescher 1997,82,Urk.,89,1424 März 10,1424-03-10,,,,Thüringen und Harzraum: weitere Empfänger in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,50,Urk.,91,1428 Januar 8,1428-01-08,,,,Niedersachsen und Hamburg,Niedersachsen/Hamburg,,
Müller et al. 2007,20,Urk.,93,1430 März 31,1430-03-31,,,Treviso,"Italien, Treviso","Italien, Treviso",Kreditvertrag,
Aberle/Prescher 1997,83,Urk.,95,1433 Juli 28,1433-07-28,,,,Thüringen und Harzraum: weitere Empfänger in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,31,Urk.,99,1437 Oktober 24,1437-10-24,,,Straubing,Bayern,Bayern,,
Aberle/Prescher 1997,60,Urk.,101,1444 Oktober 22,1444-10-22,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,84,Urk.,103,1445 April 18,1445-04-18,,,,Thüringen und Harzraum: weitere Empfänger in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,14,Urk.,105,1446,,1446-01-01,1446-12-31,,Mittelrhein,Mittelrhein,,
Müller et al. 2007,40,Urk.,107,1448 Dezember 7,1448-12-07,,,Aviano,"Italien, übriges","Italien, übriges",kirchliches Rechtsgutachten,
Aberle/Prescher 1997,61,Urk.,108,1449 Mai 2,1449-05-02,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,62,Urk.,109,1449 Mai 26,1449-05-26,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Aberle/Prescher 1997,93,Urk.,111,[15]51 März 11,1551-03-11,,,,Böhmen,Böhmen,,"cote 111 identique dans regeste et concordance, mais anormale dans la série chronologique (1449=108/109, 1451=112) : à vérifier sur pièce"
Aberle/Prescher 1997,56,Urk.,112,1451 Dezember 22,1451-12-22,,,Kloster Marienbrink zu Coesfeld,Westfalen,Westfalen,Fragment,
Müller et al. 2007,21,Urk.,114,1453 März 16,1453-03-16,,,"Treviso, Palazzo comunale","Italien, Treviso","Italien, Treviso","Notariatsinstrument, Schuldbegleichung",
Aberle/Prescher 1997,63,Urk.,116,1457 September 17,1457-09-17,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
Müller et al. 2007,41,Urk.,118,1458 Dezember 13,1458-12-13,,,Brescia,"Italien, übriges","Italien, übriges","Notariatsinstrument, Schulden",
Müller et al. 2007,26,Urk.,121,1460 September 13,1460-09-13,,,,"Italien, Venedig",Italien Venedig,Besitzübertragung,
Müller et al. 2007,55,Urk.,123,[14]65 Juli 11,1465-07-11,,,Buda,Ungarn,Ungarn,königliche Intervention in einen Konflikt,
Aberle/Prescher 1997,64,Urk.,124,1465 Oktober 9,1465-10-09,,,,Thüringen und Harzraum: Kollegium zur Himmelspforte in Erfurt,Thüringen/Harzraum,,
